pdbid,-logKd/Ki
"5m55","6.62"
"5m56","7.89"
"5m57","4.92"
"5m5q","7.05"
"5m63","6.96"
"5myn","4.52"
"5myo","10.53"
"5myr","4.66"
"5mys","4.30"
"5myv","7.51"
"5myx","8.16"
"5mz3","6.66"
"5mz8","2.31"
"5mzg","6.86"
"5u7m","6.74"
"5u7o","7.14"
"5u8a","7.89"
"5u8c","7.53"
"5u8f","7.96"
"5u94","7.19"
"5u9d","9.26"
"5u9i","7.31"
"5uac","8.30"
"5e0a","6.59"
"5e0g","5.80"
"5e0h","5.62"
"5e0j","5.21"
"5e0m","5.28"
"5e13","4.24"
"5e1b","4.84"
"5e1d","5.39"
"5e1e","7.66"
"5m3b","6.92"
"5m6f","6.66"
"5mar","4.39"
"5mf6","4.36"
"5mo0","4.68"
"5mos","3.79"
"5mra","8.00"
"5mym","5.41"
"5n53","2.55"
"5ncq","6.96"
"5nge","7.19"
"5nhl","9.52"
"5ldp","4.17"
"5le1","4.97"
"5lg3","3.80"
"5lgn","5.54"
"5lgo","8.22"
"5lgp","7.04"
"5lgq","7.05"
"5lgr","7.09"
"5lgs","7.06"
"5lgt","6.51"
"5lgu","7.66"
"5lh4","6.96"
"5thj","2.87"
"5thn","4.02"
"5tho","7.64"
"5ti0","4.21"
"5ti2","4.62"
"5ti3","4.36"
"5ti4","4.59"
"5ti5","4.39"
"5ti6","4.68"
"5ti7","4.96"
"5tig","4.22"
"5mat","6.24"
"5mav","5.48"
"5may","6.48"
"5mby","3.51"
"5meh","6.32"
"5mek","5.38"
"5mes","6.47"
"5mev","7.00"
"5mme","5.85"
"5mmg","6.01"
"5mmn","6.70"
"5mmp","7.52"
"5mn1","2.48"
"5mnb","2.48"
"5mnc","1.31"
"5mng","4.68"
"5mnh","4.68"
"5mnn","3.84"
"5mno","3.84"
"5mnr","5.46"
"5mnx","2.48"
"5mny","1.31"
"2nm1","7.47"
"2nmb","6.28"
"2nmx","5.57"
"2nmy","8.37"
"2nmz","8.37"
"2nn1","5.82"
"2nn7","6.52"
"2nn8","3.59"
"2nnd","6.06"
"2nng","5.36"
"2nno","6.40"
"2nnp","8.37"
"2nnq","8.70"
"2nns","6.05"
"2no3","8.05"
"5hln","11.52"
"5hlp","7.27"
"5hls","7.41"
"5hlw","7.64"
"5hm0","6.36"
"5hm3","5.17"
"5hmh","8.15"
"5hmi","7.82"
"5hmk","7.40"
"5hmy","6.30"
"5hn0","3.70"
"5hn7","3.92"
"5hn8","4.01"
"5hn9","4.30"
"5hng","4.03"
"5ixq","4.70"
"5ixt","4.60"
"5iy4","4.81"
"5iyv","3.87"
"5iyy","4.77"
"5iz6","6.64"
"5iz8","5.62"
"5iz9","5.42"
"5iza","5.51"
"5izc","3.95"
"5izf","9.74"
"5izj","11.52"
"5izk","6.72"
"5izl","5.73"
"5kx7","7.44"
"5kx8","7.42"
"5kxc","5.26"
"5kxi","7.74"
"5kya","8.22"
"5kyj","7.89"
"5kyk","5.80"
"5kzi","10.00"
"5kzp","7.15"
"5kzq","8.28"
"5g10","8.01"
"5g11","7.21"
"5g17","6.70"
"5g1a","6.57"
"5g1c","6.85"
"5g1n","7.77"
"5g1p","5.20"
"5g1z","5.32"
"5g2b","7.00"
"5g2g","6.05"
"5g2n","7.03"
"5g3m","5.66"
"5g3n","7.92"
"5g3w","7.38"
"5bjt","6.30"
"5bmm","8.40"
"5bms","6.34"
"5bnm","4.82"
"5bnr","6.28"
"5bns","7.02"
"5boj","7.00"
"5bot","4.41"
"5boy","5.60"
"5bpa","9.00"
"5bpe","5.95"
"5bpp","4.80"
"5bq0","7.82"
"5kat","4.10"
"5kau","6.52"
"5kax","6.11"
"5kbe","6.34"
"5kbf","8.92"
"5kbg","6.11"
"5kbh","6.26"
"5kbi","5.39"
"5kbq","7.00"
"5kbr","6.59"
"5kby","8.82"
"5kcb","6.00"
"5kcv","8.30"
"5kcx","6.70"
"5kde","3.89"
"5f2f","6.92"
"5f2k","6.16"
"5f2p","4.43"
"5f2r","4.28"
"5f2s","6.70"
"5f2u","8.43"
"5f2w","3.98"
"5f32","4.94"
"5f37","5.77"
"5f39","5.10"
"5f3c","6.05"
"5f3e","6.86"
"5f3g","6.90"
"5l9i","7.00"
"5l9l","7.10"
"5l9o","5.40"
"5lav","6.09"
"5law","7.10"
"5lax","5.40"
"5lay","7.47"
"5laz","8.40"
"5lb7","5.05"
"5lbq","5.11"
"5a4l","5.41"
"5a4q","5.54"
"5a54","6.15"
"5a5d","8.00"
"5a5o","3.00"
"5a5p","4.00"
"5a5q","4.68"
"5a5r","5.90"
"5a5s","5.90"
"5dhr","4.64"
"5dht","6.00"
"5dhu","6.30"
"5di1","7.68"
"5dia","10.46"
"5diq","5.17"
"5dit","6.15"
"5hz5","7.07"
"5hz6","7.80"
"5hz8","6.40"
"5hz9","7.03"
"5hzn","7.21"
"5i0b","5.06"
"5i0l","7.74"
"5i12","5.92"
"5i13","5.08"
"5i1q","7.92"
"5hh4","5.96"
"5hh6","6.40"
"5hhx","8.21"
"5hi7","7.85"
"5hip","6.05"
"5his","4.71"
"5hj9","5.85"
"5hja","5.96"
"5hjb","5.68"
"5hjc","4.35"
"5hjd","5.24"
"5hjq","4.72"
"5hk1","8.37"
"5etb","4.54"
"5etf","3.79"
"5eth","7.25"
"5etj","10.18"
"5etk","5.82"
"5etl","4.64"
"5etm","5.41"
"5etn","5.37"
"5etp","6.15"
"5etq","6.48"
"5etr","6.52"
"5ets","5.91"
"5ett","6.23"
"5fh7","6.86"
"5fh8","6.77"
"5fhm","5.09"
"5fhn","5.90"
"5fho","6.67"
"5fi2","7.15"
"5fi6","7.52"
"5fi7","7.40"
"5fiv","7.66"
"5fjw","5.40"
"5fjx","4.96"
"5fkj","10.66"
"5fl0","6.46"
"5ih5","6.30"
"5ijp","7.15"
"5ioy","5.22"
"5itd","6.58"
"5iug","7.33"
"5ivs","8.21"
"5ixf","5.52"
"5izm","5.92"
"5j59","7.30"
"5j75","6.82"
"5jgb","7.89"
"5jpt","4.60"
"5jy0","5.55"
"5k05","4.96"
"5k5s","2.69"
"5cqj","4.81"
"5cqt","6.91"
"5cqu","6.54"
"5cqx","5.33"
"5cr7","3.10"
"5cs2","8.40"
"5cs3","2.15"
"5cs5","1.58"
"5cs6","3.20"
"5csd","7.89"
"5csh","3.57"
"5cso","6.03"
"5csp","4.24"
"5cst","6.96"
"4ydn","8.64"
"4ye3","8.37"
"4yec","7.60"
"4yee","6.49"
"4yef","5.35"
"4yes","8.02"
"4yff","8.00"
"4yfi","6.30"
"4ygf","7.68"
"5aut","5.17"
"5auu","4.68"
"5auv","4.51"
"5auw","5.05"
"5aux","5.00"
"5auy","5.80"
"5auz","4.01"
"5av0","3.55"
"5ave","5.44"
"5avf","5.49"
"5avi","6.06"
"5awj","9.68"
"5awt","4.52"
"5awu","4.65"
"5dpa","4.65"
"5dpw","5.37"
"5dpx","4.46"
"5dq8","4.14"
"5dqc","7.34"
"5dqe","3.63"
"5dqf","3.60"
"5drc","5.98"
"5dri","7.70"
"5dro","10.59"
"5drq","10.92"
"5jy3","7.92"
"5jyo","8.52"
"5jyp","7.00"
"5jyy","8.10"
"5jz9","3.57"
"5jzb","3.39"
"5jzi","4.80"
"5jzn","5.96"
"5jzs","3.27"
"5jzy","9.82"
"5k00","8.15"
"5k03","4.74"
"5eko","4.80"
"5ekx","2.03"
"5el2","4.47"
"5el9","7.64"
"5eld","2.66"
"5elf","2.34"
"5elq","5.70"
"5elv","6.80"
"5elw","7.85"
"5ely","7.36"
"5elz","6.34"
"5em3","3.70"
"5jjr","7.80"
"5jk3","8.14"
"5jlz","5.82"
"5jm4","7.42"
"5jmp","7.17"
"5jmw","6.76"
"5jmx","5.09"
"5jn8","7.30"
"5ijr","3.20"
"5ikb","8.72"
"5il1","5.82"
"5im3","5.82"
"5ime","8.34"
"5in9","6.36"
"5inh","6.00"
"5iok","5.02"
"5iop","4.54"
"4zt4","8.00"
"4zt5","8.00"
"4zt6","8.00"
"4zt8","4.39"
"4ztl","5.92"
"4ztm","7.60"
"4ztn","7.72"
"4ztq","6.32"
"4ztr","8.30"
"5aac","8.89"
"5aad","6.67"
"5aae","7.46"
"5aaf","7.44"
"5aag","7.34"
"5aan","4.15"
"5ab0","7.59"
"5ab1","5.42"
"5ab9","6.33"
"5abe","3.05"
"5abf","4.85"
"5i7u","8.77"
"5i7x","7.28"
"5i7y","7.28"
"5i80","7.21"
"5i83","5.39"
"5i86","6.28"
"5i88","6.60"
"5i89","7.48"
"5i8b","6.96"
"5i8c","7.60"
"5i8g","7.52"
"5i8p","6.73"
"5i94","7.52"
"5i9i","7.30"
"5knj","6.94"
"5knr","5.85"
"5kns","6.12"
"5knt","4.43"
"5knu","5.55"
"5knv","4.87"
"5knx","6.10"
"5ko1","6.64"
"5ko5","4.57"
"5koq","9.24"
"5kpk","8.30"
"5kpl","6.29"
"5szc","4.69"
"5t18","9.30"
"5t19","4.49"
"5t1a","7.89"
"5t1i","3.92"
"5t1k","6.28"
"5t1l","6.62"
"5t1m","5.82"
"5t1s","7.08"
"5t1t","7.24"
"5t1u","7.16"
"5t1w","7.11"
"5t23","5.80"
"4z2b","7.76"
"4z2g","6.66"
"4z2h","5.08"
"4z2i","7.44"
"4z2j","6.43"
"4z2k","5.78"
"4z2l","5.85"
"4z2o","4.51"
"4z2p","4.60"
"4z3v","8.40"
"4z5w","5.81"
"4z68","6.49"
"5hda","5.13"
"5hdu","9.00"
"5hdv","7.82"
"5hdx","7.32"
"5hdz","7.35"
"5he0","6.82"
"5he1","6.55"
"5he2","6.89"
"5he3","6.55"
"5he4","7.70"
"5he5","6.47"
"5he7","8.30"
"5khh","4.31"
"5khi","6.77"
"5khj","3.74"
"5khk","6.39"
"5khm","8.30"
"5khx","7.85"
"5kit","7.89"
"5kj0","6.89"
"5kj2","7.82"
"5kjk","7.92"
"5kjm","7.19"
"5kjn","7.77"
"5kk8","5.84"
"5kkr","6.92"
"5kks","8.70"
"5kkt","9.00"
"5eni","2.30"
"5enj","2.30"
"5enk","8.10"
"5enm","7.15"
"5eob","9.62"
"5eoc","7.52"
"5eok","3.49"
"5eol","9.52"
"5ez0","5.80"
"5ezg","4.92"
"5ezh","4.62"
"5ezx","7.06"
"5ezz","6.84"
"5f00","6.60"
"5f01","6.38"
"5f02","7.44"
"5f04","4.00"
"5f08","5.52"
"5izq","8.52"
"5izu","7.27"
"5j0d","6.87"
"5j19","6.60"
"5j1r","4.66"
"5j1v","7.39"
"5j1w","6.72"
"5j1x","5.52"
"5j20","9.14"
"5j27","6.74"
"5j2x","7.74"
"5j31","6.51"
"5l6i","4.35"
"5l6j","6.70"
"5l6p","7.26"
"5l72","6.80"
"5l7e","6.60"
"5l7f","9.05"
"5l7g","7.80"
"5l7h","7.30"
"5l7k","10.37"
"5l87","5.07"
"5lxc","7.97"
"5lxd","8.50"
"5lxp","6.12"
"5ly1","7.53"
"5ly2","7.92"
"5ly3","7.51"
"5lyh","6.31"
"5lyn","5.04"
"5lyr","7.89"
"5lyw","6.15"
"5gic","6.48"
"5gid","6.11"
"5gj9","4.99"
"5gja","5.55"
"5gjd","7.92"
"5gjf","6.59"
"5gjg","6.21"
"5glu","4.02"
"5gmh","6.31"
"5gmi","4.92"
"5gmj","5.08"
"5gmm","4.54"
"5gmn","4.73"
"5byz","7.38"
"5c0k","2.92"
"5c0m","5.85"
"5c11","6.47"
"5c13","6.10"
"5c1m","10.80"
"5c1x","5.75"
"5ee7","9.21"
"5eec","7.10"
"5eef","8.32"
"5eei","9.22"
"5eek","9.10"
"5eel","6.08"
"5een","8.96"
"5eeq","5.82"
"5ef7","9.00"
"5ef8","8.85"
"5efa","4.83"
"5efb","8.37"
"5efc","4.85"
"5efh","6.10"
"5efj","6.46"
"5eg4","7.68"
"5fqs","7.36"
"5fqt","6.80"
"5fqv","6.21"
"5fs5","6.69"
"5fsb","2.22"
"5fsc","2.36"
"5fsl","4.62"
"5fsm","4.40"
"5fsn","5.77"
"5fso","6.09"
"5eq0","5.92"
"5etu","3.89"
"5eyz","6.00"
"5f0c","4.00"
"5f4u","7.02"
"5f88","4.30"
"5fbo","9.51"
"5fdo","6.44"
"5fnj","2.29"
"5fun","7.59"
"5g42","2.30"
"5g6u","6.66"
"5gmp","9.10"
"5goe","4.34"
"5jf1","7.19"
"5jf2","7.89"
"5jf4","7.19"
"5jf5","7.20"
"5jf6","7.21"
"5jf7","6.04"
"5jf8","5.85"
"5jfd","9.54"
"5jfp","9.32"
"5jfu","8.07"
"5jg1","8.72"
"5jga","8.64"
"5l01","7.48"
"5l0c","6.15"
"5l0h","5.64"
"5l13","6.96"
"5l15","9.57"
"5l17","9.30"
"5l26","5.35"
"5l2i","7.40"
"4xx4","7.36"
"4xx9","5.08"
"4xxh","5.00"
"4xxs","7.28"
"4xy2","8.10"
"4xy8","6.40"
"4xy9","5.33"
"5fap","8.00"
"5faq","5.28"
"5fas","7.47"
"5fat","6.96"
"5fb0","5.47"
"5fb1","5.92"
"5fb7","7.89"
"5fbe","4.85"
"5fbi","2.80"
"5fbn","9.57"
"5ho7","4.77"
"5ho8","5.96"
"5hoa","7.19"
"5hog","3.64"
"5hor","8.22"
"5hpm","7.13"
"5hrv","5.29"
"5hrw","5.48"
"5d0r","6.37"
"5d10","7.14"
"5d11","7.55"
"5d12","7.37"
"5d1j","7.32"
"5d1n","5.57"
"5d1r","4.84"
"5d1s","5.02"
"5d1t","5.77"
"5d1u","5.96"
"5d1w","5.12"
"5d21","8.38"
"5d24","5.24"
"5d25","6.30"
"5d26","6.09"
"5d29","7.01"
"5d2a","5.59"
"5t6g","5.96"
"5t6j","4.93"
"5t6p","6.06"
"5t6z","4.21"
"5t70","3.99"
"5t78","7.37"
"5t7s","4.10"
"5t8e","9.14"
"5t8j","9.00"
"5t8o","6.51"
"5t8p","5.89"
"5t8q","4.16"
"5tca","7.72"
"5tcc","5.66"
"5tci","6.88"
"5tcj","7.38"
"5tco","8.19"
"5td2","8.66"
"5td7","5.77"
"5tdb","5.84"
"5tdi","9.74"
"5tdw","4.70"
"5teg","6.85"
"4zxx","8.10"
"4zxy","6.40"
"4zy0","8.04"
"4zy1","8.14"
"4zy2","7.22"
"4zy4","7.66"
"4zy5","7.59"
"4zy6","8.30"
"4zyc","6.42"
"5ant","6.36"
"5anu","9.40"
"5anv","9.30"
"5anw","8.52"
"5aoi","3.03"
"5aoj","4.68"
"5aok","2.70"
"5aol","2.32"
"5aom","2.90"
"5tol","7.48"
"5toz","9.46"
"5tp0","5.44"
"5tpb","2.59"
"5tpc","3.00"
"5tpg","7.85"
"5tpx","6.55"
"5tq1","5.49"
"5tq4","8.38"
"5tq5","7.23"
"5duf","5.74"
"5dus","5.53"
"5duw","3.29"
"5dv2","2.90"
"5dv4","2.47"
"5dw1","7.10"
"5dw2","5.84"
"5dx3","7.41"
"5dx4","6.86"
"5dxb","6.28"
"5dxe","6.41"
"5heb","6.10"
"5hed","4.44"
"5hex","8.00"
"5hey","5.66"
"5hf1","5.74"
"5hfb","4.57"
"5hff","6.30"
"5hfj","4.39"
"5hfu","6.89"
"5hg1","5.20"
"5hg5","8.70"
"5hg7","8.40"
"5hg8","8.52"
"5hg9","7.46"
"5hgc","8.66"
"5i3a","5.05"
"5i3m","7.40"
"5i3v","7.80"
"5i3w","9.22"
"5i3x","8.10"
"5i3y","9.40"
"5i40","4.86"
"5i43","7.20"
"5i4o","7.28"
"5i4v","8.52"
"5i56","7.32"
"5i58","6.92"
"5i59","6.95"
"5i5x","6.70"
"5i5z","9.05"
"5k6a","4.51"
"5k6s","6.26"
"5k76","8.30"
"5k7h","6.00"
"5k8n","6.32"
"5k8o","5.96"
"5k8s","8.22"
"5k8v","6.34"
"5k9w","4.59"
"5ka1","4.48"
"5ka3","4.59"
"5ka7","4.35"
"5ka9","4.41"
"5kab","4.68"
"5kad","4.43"
"5kam","4.11"
"5kap","4.23"
"5ei2","7.34"
"5ei3","4.25"
"5ei4","4.58"
"5ei6","7.00"
"5ei8","8.10"
"5eie","7.64"
"5eif","2.55"
"5eij","5.31"
"5eis","5.74"
"5eiw","2.05"
"5eje","5.60"
"5ejl","6.62"
"5ewa","4.82"
"5ewd","3.70"
"5ewh","3.77"
"5ewj","6.89"
"5ewk","4.85"
"5ewm","7.92"
"5ewy","4.30"
"5ewz","6.34"
"5exl","8.43"
"5exn","7.64"
"5exw","6.82"
"5itf","5.74"
"5ito","4.16"
"5itp","5.00"
"5iu2","7.80"
"5iu4","9.28"
"5iu6","3.89"
"5iu7","8.96"
"5iu8","7.74"
"5iua","8.82"
"5iub","9.46"
"5lpm","5.56"
"5lqq","7.09"
"5lrg","8.82"
"5lrj","8.72"
"5lrk","8.82"
"5lrq","5.80"
"5hk9","6.54"
"5hka","6.46"
"5hkb","5.59"
"5hkh","5.09"
"5hki","2.80"
"5hkm","7.89"
"5hl9","4.66"
"5hlb","4.01"
"5hlm","5.90"
"5e88","7.19"
"5e89","7.85"
"5e8a","7.47"
"5e8f","8.64"
"5e8r","8.70"
"5e8w","4.39"
"5e8z","5.91"
"5e90","7.85"
"5e91","8.40"
"5ea3","8.77"
"5ea4","8.11"
"5ea5","8.06"
"5ea6","7.41"
"5ea7","7.96"
"5eak","9.30"
"5jar","5.70"
"5jas","5.77"
"5jat","6.64"
"5jau","8.85"
"5jaz","6.55"
"5jbi","6.92"
"5jc1","6.82"
"5jcb","4.21"
"5jcj","4.42"
"5jdc","3.98"
"5jdi","5.37"
"5jek","3.98"
"5jeo","4.80"
"5jer","3.70"
"5f0f","6.00"
"5f0h","4.48"
"5f1c","6.13"
"5f1h","7.85"
"5f1l","7.68"
"5f1r","6.00"
"5f1u","6.40"
"5f1v","6.85"
"5f1x","6.11"
"5f1z","8.68"
"5f20","7.52"
"5f25","5.04"
"5f27","4.00"
"5f29","5.05"
"5icx","6.96"
"5icy","5.06"
"5icz","5.30"
"5id0","5.77"
"5id1","6.25"
"5idn","8.59"
"5idp","7.35"
"5ie1","6.85"
"5iee","4.94"
"5ief","5.28"
"5ieg","5.74"
"5ien","6.52"
"5ieo","7.00"
"5k09","6.00"
"5k0b","6.05"
"5k0c","5.96"
"5k0f","6.07"
"5k0h","7.09"
"5k0i","8.70"
"5k0j","7.12"
"5k0m","8.82"
"5k0s","8.22"
"5k0t","5.78"
"5k13","8.74"
"5k1d","4.68"
"5k1f","4.79"
"5k1i","8.04"
"5k1v","5.70"
"5ll5","6.04"
"5ll7","5.61"
"5ll9","6.08"
"5lla","7.72"
"5llc","9.52"
"5lle","10.22"
"5lli","7.05"
"5llm","5.35"
"5llo","9.40"
"5llp","9.24"
"5lm4","3.88"
"5lm6","5.11"
"5lma","6.60"
"5dtq","3.86"
"5dtr","4.41"
"5dts","3.55"
"5dtt","3.51"
"5du4","5.25"
"5du6","5.02"
"5du8","5.72"
"5em5","6.58"
"5em6","8.40"
"5em7","7.72"
"5em8","5.96"
"5em9","5.57"
"5ema","5.23"
"5emb","5.20"
"5emj","7.48"
"5emk","7.89"
"5eml","7.64"
"5en3","6.21"
"5enb","3.11"
"5enc","2.30"
"5ene","3.23"
"5enf","3.57"
"5eng","5.85"
"5f5b","3.95"
"5f5i","6.02"
"5f60","7.37"
"5f61","7.46"
"5f62","8.17"
"5f63","7.92"
"5f67","6.89"
"5f6d","2.52"
"5f6v","2.24"
"5f74","5.12"
"5ih6","5.60"
"5ih8","6.74"
"5ih9","8.70"
"5iha","8.05"
"5ihc","7.89"
"5ii1","5.48"
"5ii2","4.89"
"5iis","9.00"
"5ij7","8.51"
"5ijj","6.55"
"5hv0","5.96"
"5hv1","4.10"
"5hva","7.07"
"5hvs","7.15"
"5hvt","7.26"
"5hvu","7.89"
"5hvy","7.76"
"5hwu","5.27"
"5hwv","5.07"
"5hx6","8.00"
"5hx8","10.00"
"5hyq","6.82"
"5hyr","7.38"
"5hyx","6.55"
"5kdf","3.27"
"5kdr","8.30"
"5ke0","9.70"
"5kej","5.11"
"5kew","6.50"
"5kez","8.15"
"5kgw","4.79"
"5kgx","4.80"
"5kh3","4.22"
"5kh7","3.66"
"5khd","5.60"
"5khg","4.69"
"5kpm","7.82"
"5kww","8.13"
"5l2m","6.89"
"5l3e","6.18"
"5l9h","6.40"
"5lc0","6.70"
"5ldo","3.75"
"5lmk","7.43"
"5lpl","4.92"
"5ls6","9.00"
"5lvq","4.14"
"4ui5","6.78"
"4ui6","7.06"
"4ui7","7.36"
"4ui8","7.60"
"4uia","6.72"
"4uib","9.00"
"4uil","7.24"
"4uin","7.62"
"4uit","6.70"
"4uiu","7.90"
"4uiv","7.80"
"4uiw","7.30"
"4uix","7.30"
"4uiy","5.60"
"5fus","4.68"
"5fut","6.45"
"5fv7","6.74"
"5fwa","4.79"
"5fwg","6.72"
"5fwj","7.89"
"5fwr","7.75"
"5fxq","7.85"
"5fxr","7.42"
"5fxs","8.05"
"5fyq","5.89"
"5g0q","10.00"
"5iuh","6.40"
"5iui","5.00"
"5iv2","5.10"
"5iv4","5.48"
"5ivc","5.92"
"5ive","7.57"
"5ivf","4.40"
"5ivj","7.34"
"5ivn","8.85"
"5a7j","5.20"
"5a81","5.54"
"5a82","5.60"
"5a83","6.80"
"5a85","5.30"
"5a8x","8.19"
"5a8y","9.77"
"5a8z","7.55"
"5a9u","10.10"
"5aa8","8.07"
"5aa9","8.19"
"5aaa","9.42"
"5d9k","8.40"
"5d9l","7.62"
"5d9p","3.20"
"5da3","7.10"
"5dah","5.30"
"5db0","7.43"
"5db1","7.66"
"5db2","7.60"
"5db3","7.92"
"5dcz","9.30"
"5dd0","7.08"
"5dda","5.78"
"5ddb","7.09"
"5ddc","7.04"
"5eou","5.36"
"5ep7","5.40"
"5epk","5.74"
"5epl","7.03"
"5epn","8.66"
"5epp","4.16"
"5epr","4.04"
"5eps","4.42"
"5epy","7.40"
"5h9r","6.08"
"5h9s","4.06"
"5ha1","7.19"
"5ha9","5.78"
"5hbe","8.64"
"5hbh","7.31"
"5hbj","8.64"
"5hbn","4.89"
"5hbs","7.73"
"5hct","7.60"
"5hcv","8.70"
"5hcx","8.39"
"5hcy","8.92"
"5hd0","8.40"
"5j79","8.52"
"5j7b","8.30"
"5j7f","7.24"
"5j7g","7.24"
"5j7j","5.07"
"5j7p","7.28"
"5j7q","4.58"
"5j7s","7.30"
"5j7w","4.89"
"5j82","6.00"
"5j86","8.26"
"5j87","8.05"
"5j8i","8.29"
"5ksv","5.22"
"5ksx","5.43"
"5ktu","6.21"
"5ktw","7.52"
"5ktx","7.70"
"5ku3","4.89"
"5ku6","6.84"
"5ku9","5.83"
"5kup","8.14"
"5kv8","4.84"
"5kv9","5.85"
"5kva","5.14"
"5kw2","9.09"
"4yqu","6.66"
"4yqv","5.71"
"4yrd","4.57"
"4yrg","2.70"
"4yrr","2.70"
"4yrs","3.07"
"4yrt","2.78"
"4ys7","9.00"
"4ysi","5.70"
"4zl4","7.86"
"4zla","7.30"
"4zlo","4.92"
"4zls","9.09"
"4zly","5.46"
"4zlz","7.00"
"4zme","4.30"
"4zmf","3.96"
"4znx","6.62"
"4zo5","9.82"
"4zom","8.52"
"4zow","4.12"
"4zpe","6.35"
"5fck","8.22"
"5fcw","6.52"
"5fcz","4.20"
"5fd2","7.05"
"5fdc","7.46"
"5fdd","4.20"
"5fdg","6.37"
"5fdi","7.73"
"5foo","2.62"
"5fos","5.74"
"5fot","3.17"
"5fou","3.95"
"5fov","2.80"
"5fow","4.03"
"5fox","3.17"
"5fp0","7.77"
"5fpi","4.14"
"5fpk","3.55"
"5fpp","4.00"
"5fpu","6.26"
"5fq9","6.48"
"5fqb","6.52"
"5fqc","8.52"
"5fqp","7.72"
"5fqr","7.59"
"5g43","3.70"
"5g45","3.30"
"5g46","2.60"
"5g4m","3.86"
"5g4n","4.00"
"5g4o","4.43"
"5g57","8.40"
"5g5f","5.28"
"5g5v","6.70"
"5g5z","5.66"
"5g60","6.52"
"5g61","6.40"
"5h13","4.94"
"5h9q","4.42"
"5hgq","7.34"
"5hk2","8.59"
"5ho6","6.69"
"5hrx","5.29"
"5huy","5.03"
"5i38","3.42"
"5jgd","7.96"
"5jgi","4.30"
"5jgq","4.62"
"5jh6","8.48"
"5jha","5.90"
"5jhd","4.52"
"5jhk","4.64"
"5ji6","7.96"
"5ji8","4.63"
"5jic","6.89"
"5jid","3.76"
"5jim","3.99"
"5jin","5.64"
"5jiq","5.40"
"5jiy","6.27"
"5jjm","7.51"
"5egm","8.62"
"5egs","6.01"
"5egu","5.85"
"5eh0","7.74"
"5eh5","5.87"
"5eh7","3.48"
"5eh8","3.10"
"5ehe","8.32"
"5ehg","3.43"
"5ehi","3.34"
"5ehn","11.64"
"5ehp","4.92"
"5ehq","10.48"
"5ehr","7.14"
"5ehw","3.00"
"5ehy","6.09"
"5etv","6.24"
"5etx","6.81"
"5ety","7.51"
"5eu1","7.81"
"5eue","6.77"
"5ev8","5.22"
"5eva","3.70"
"5evb","5.00"
"5evd","5.00"
"5evk","4.92"
"5ew0","6.59"
"5ew3","8.92"
"5ew9","11.00"
"5swh","7.59"
"5sxk","4.70"
"5sxm","8.54"
"5sxn","4.96"
"5sy2","4.96"
"5sy3","4.37"
"5sym","6.55"
"5syn","6.62"
"5sys","7.36"
"2n7b","3.55"
"2n8t","3.37"
"2n9e","5.05"
"2n9x","6.40"
"2ncz","3.85"
"2nd0","3.20"
"2ndf","4.23"
"2ndg","4.71"
"4ufe","8.15"
"4uff","7.96"
"4ufg","8.15"
"4ufh","6.42"
"4ufi","6.20"
"4ufj","4.28"
"4ufk","3.89"
"4ufl","2.64"
"4ufm","3.72"
"4ufu","8.00"
"4ufy","8.15"
"4ufz","6.31"
"4uhg","6.27"
"4ui3","6.88"
"4wj5","6.29"
"4wj7","4.89"
"4wk1","5.89"
"4wk2","6.94"
"4wk7","7.13"
"4wkb","11.57"
"4wkc","12.68"
"4wke","8.10"
"4wki","8.30"
"5b6g","7.44"
"5bqg","4.76"
"5bue","8.52"
"5byy","7.01"
"5c20","6.41"
"5c85","3.98"
"5caq","8.57"
"5cpr","7.56"
"5csw","8.40"
"5d0j","5.31"
"5d7x","4.82"
"5aen","7.22"
"5aep","7.17"
"5aes","2.89"
"5afj","4.38"
"5afk","3.88"
"5afl","3.40"
"5afm","4.15"
"5afn","4.47"
"5afv","5.59"
"5afx","5.92"
"5agi","4.34"
"5agj","6.15"
"5c87","3.70"
"5c8k","7.70"
"5c8m","7.19"
"5c8n","7.55"
"5c91","3.61"
"5cal","7.66"
"5can","6.91"
"5cao","7.42"
"5cap","7.28"
"4zyy","8.05"
"4zyz","7.17"
"4zz0","7.00"
"4zz1","7.89"
"4zz2","8.04"
"4zz3","6.00"
"4zzd","6.60"
"4zzx","6.90"
"4zzy","5.60"
"4zzz","7.06"
"5a00","7.52"
"5a09","8.46"
"4rvl","7.38"
"4rvm","9.00"
"4rvr","6.87"
"4rvt","5.72"
"4rwj","8.70"
"4rwk","7.19"
"4rwl","8.10"
"4rww","5.85"
"4rx5","8.52"
"4rx7","8.30"
"5b25","10.24"
"5b2d","4.25"
"5b4k","9.34"
"5b4l","9.12"
"5b4w","8.46"
"5b56","4.54"
"5b5b","9.37"
"5b5f","5.25"
"5b5g","5.25"
"5b5o","5.72"
"5b5p","9.70"
"5b6c","3.66"
"4xhv","4.30"
"4xii","6.60"
"4xip","6.63"
"4xiq","7.07"
"4xir","6.94"
"4xit","7.27"
"4xj0","9.52"
"4xjr","5.32"
"4xjs","7.12"
"4xjt","5.14"
"4xk9","9.07"
"4zdu","5.77"
"4ze6","2.48"
"4zeb","6.52"
"4zec","5.82"
"4zed","5.12"
"4zei","5.88"
"4zek","5.66"
"4zfi","6.30"
"4zg6","6.33"
